标题,链接
观世界 · 向未来 | 2023级国际传播白杨班专业硕士毕业作品展预告,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652685605&idx=1&sn=5baf5c33de07c434af3eae5e21e9a225&chksm=80541ef6b72397e0d2d6117dcd172857af07e9f1d6e6717488f6461669937cc4b2058440c0d0#rd
系列融媒作品“咱们新疆好地方”｜雪山、草原、戈壁如何成为“大国粮仓”？,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652685566&idx=1&sn=13da480c4eec6f764764243a90488cd9&chksm=80541f2db723963b20e2ad1ce5846373c806ce6ce44bb06f639bf2abf649500dcbcac0fccbb7#rd
中传悦读｜中国动画的踪迹（2000—2024）：贾秀清自选集,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652685534&idx=1&sn=c5fdef2f3feede8984740d6f3cb4f964&chksm=80541f0db723961b86da9bc687a433521e4420fd9537c4684729d0dc97d03d4bf2b33a69ca50#rd
毕业典礼素材征集｜致即将奔赴新程的我们,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652685416&idx=1&sn=4a16f77a1bfafeeb44aa7fd9566b2380&chksm=80541fbbb72396ad592714a32e66d9ed50491e1bb4d9313cc02cacf73879e9a0060cf87209be#rd
光影AI，共筑未来：第十五届北京国际电影节AIGC电影单元荣誉盛典在中传举行,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652685376&idx=1&sn=74709a0d2b16ec686e8a8084044154ed&chksm=80541f93b7239685c8b95e86b124947af6ef0be1dcc077086e06c89a630dde3706f45a72fe65#rd
北京市大学生程序设计竞赛暨“小米杯”全国邀请赛成功举办,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652684919&idx=1&sn=032c623eec10fa3c37aa098bb0d3ec96&chksm=805419a4b72390b2f5523d1ca0bc450d73957a1cf97483c250b4e1cd9c2099d7722b9366f0eb#rd
致敬中传劳动者：“最美后勤人”张连廷,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652684907&idx=1&sn=90fbe5817dccfbdcf58f283267586d4e&chksm=805419b8b72390ae0a64f9e88d84b4033db7aa1d57dbcc794a75307c1dc32dcac00aa535a25b#rd
招生简章｜国家艺术基金2025年度艺术人才培训资助项目《艺术城市建设创意与传播人才培训》,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652684907&idx=2&sn=710a7b84813232d1b719e4eee153a854&chksm=805419b8b72390aebb24234816412843a041a57a8d96a54025904eec1d0f50d5c1a37a0eb8c9#rd
第十五届北京国际电影节短视频单元主题论坛与荣誉盛典在中传举行,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652684866&idx=1&sn=77009dae272ef34613a0d18d7d6d33bf&chksm=80541991b7239087e4395a6c08192d7b4fd727b4a03b5a461e1fef830efae838513015d0537d#rd
国家艺术基金2025年度艺术人才培养资助项目《智媒时代纪实摄影创作人才培训》招生简章,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652684866&idx=2&sn=739f1f0481e574fa941667d60018a2d5&chksm=80541991b72390879d56bdd7157313414b1c9062ea050e009244ccb1f467adf51e683f480c4a#rd
